"Program ID", "Source code", "Feedback class"
"0", "", "1"
"1", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(10):
  if num % 3 == 0 or num % 5 == 0:
  	print num", "3"
"2", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b


import os

while True:
  os.fork()", "2"
"3", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# print
#
#     a
#     b
sum = 0
max = 10
for num in range((max-1)/3):
	print (num+1)*3
	sum += (num+1)*3

for num in range((max-1)/5):
	print (num+1)*5
	if x % 3 > 0:
		sum += (num+1)*5

print sum", "6"
"4", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  
	print x
  
  ", "4"
"5", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a = 5
#     b = 3

for num in range(10):
  print x % 5
  print x % 3", "4"
"6", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

suma=0
for num in range(100) :
  if num % 3==0 or num % 5 == 0 : 
    suma = suma + num

sum=0
for num in range(1000) :
  if num % 3==0 or num % 5 == 0 : 
    sum = sum + num
  
print suma*10000+sum", "3"
"7", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(10):
  print '%'
  ", "3"
"8", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

sum=0
for num in range(1000):
  if (num%3 ==0):
  	sum=sum+num
  if (num%5 ==0): 
  	sum=sum+num
print sum
", "6"
"9", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
print num
for num in range(10):
  if (num % 5 == 0):
	num = num + num
	
	
print num 
  ", "4"
"10", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
n=0
for num in range(10):
  if (num%3 == 0):
	n=n+num
  if (num%5 == 0):
	n=n+num

print n", "3"
"11", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b


for num in range(10):
  num % 3
  print num", "3"
"12", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

sum=0
for num in range(1000):
  if num%3==0 or num%5==0:
	sum += num
	
print(sum)
  ", "6"
"13", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

total = 0
for num in range(10):
  if num % 3 == 0 or num%5 == 0:
	total += num
print total
", "3"
"14", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     3
#     5

for num in range(3, 5): print 3
 
  
  ", "3"
"15", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
s=0
for num in range(1000):
  if (num % 3 ==0) or (num % 5 ==0):
	s=s+num
print s", "6"
